Key,English,German,Simplified English,Simplified German
D1.1_BrokenShip,Johan Maurits talked about a broken ship for sale by the slave trading company he works for in a con-versation with his right-hand man!,"<size=13.4>In einem Gespräch mit einem engen Mit-arbeiter hat Johann Moritz über den Ver-kauf eines beschä-digten Schiffes ge-redet. 

Verkauft wird es von der Handelsgesell-schaft, für die er arbeitet.",<size=14.5>Johan Maurits was talking about a broken ship to an employee. ,Johann Moritz hat mit seinem Mit-arbeiter über ein kaputtes Schiff geredet.
D1.2_GasparInfo,"""I received impor-tant information for that scam idea I had the other day."" 

- Gaspar Dias, a merchant who <b>worked closely</b> with Johan Mau-rits.","""Ich habe wichtige Informationen er-halten, die für meine Betrugsidee helfen könnten!""

- Gaspar Dias, Kaufmann, <b>arbeite-te eng</b> mit Johann Moritz zusammen.","<size=14.2>""I will soon own a ship. 
It will help me with my illegal busi-ness!""

- said Gaspar Dias, a merchant who <b>worked for</b> Johan Maurits","<size=13.5>""Ich werde bald ein Schiff haben! 

Das kann ich dann für meine illegalen Ge-schäfte benutzen!""

- sagte Gaspar Dias, ein Händler der <b>für Johann Moritz ge-arbeitet</b> hat."
D1.3_FixedShip,"This ship was recently sold by the WIC to some <b>merchant</b> guy. 

I heard they had to fix it up! It is leaving Recife as a Portuguese ves-sel for Africa tomorrow. ","Dieses Schiff wurde neulich von der WIC an irgendeinen <b>Händler</b> verkauft und musste repa-riert werden. 

Morgen fährt es unter portugiesi-scher Flagge von Recife nach Afrika.","<size=14.3>This ship was bro-ken, but then it was sold to a Portu-guese <b>merchant</b>. 

Tomorrow it's going to leave Brazil to go to Africa!","<size=14>Diese Schiff war ka-putt, wurde dann aber an einen por-tugiesischen <b>Händ-ler</b> verkauft. 

Morgen fährt es von Brasilien nach Af-rika!"
D1.4_Antonio,"""I only agreed to steer the 'Diemen' to get Gaspar Dias' favor. 

But as soon as I meet an official, I will tell them he is a fraud!""

- Antonio Machado, Portuguese <b>Cap-tain</b>","""Ich habe nur für eine Empfehlung von Dias eingewilligt, die 'Diemen' zu steu-ern. 
Aber dem nächstbesten Verwalter werde ich sagen, dass Dias ein Betrüger ist!"" 

- Antonio Machado, portugiesischer <b>Ka-pitän</b>","<size=14>""I don't actually want to steer the ship 'Diemen.' 

As soon as I meet someone important, I will tell them Gaspar Dias is a fraud!

- said Antonio, a <b>captain</b>","""Eigentlich will ich das <b>Schiff</b> 'Diemen' gar nicht steuern.
Sobald ich jemand wichtiges treffe, werde ich erzählen, dass Gaspar Dias ein Betrüger ist!

- sagte Antonio, <b>Kaptiän</b>"
D1.5_SlavesLoaded,"This <b>ship</b> left an African harbor with many enslaved people. 
Officially it's heading for a Portuguese port. 

Strange, that seems somewhat familiar.","Dieses <b>Schiff</b> hat, beladen mit vielen versklavten Men-schen, einen afri-kanischen Hafen verlassen. Es steu-ert wohl einen por-tugiesischen Hafen an.  
Seltsam, das kommt mir vage bekannt vor.","<size=13.2>This <b>ship</b> had many enslaved people come on board in Africa. 

The people were tak-en from their home to be brought to Brazil to work.","<size=14.2>Dieses <b>Schiff</b> hat in Afrika viele versklavte Men-schen aufgeladen. 

Diese sollten gegen ihren Willen nach Brasilien gebracht werden , um dort zu arbeiten."
D1.6_Shipwreck,"This <b>shipwreck</b> is odd because no cargo sank with it. 

However, there are many footsteps that lead toward Mauritsstad.","Dieses <b>Schiffs-wrack</b> ist unge-wöhnlich, da keine Ladung mit ge-sunken ist. 

Allerdings führen am Ufer viele Fuß-stapfen nach Mau-ritsstad.","<size=14>This <b>broken ship</b> is weird!
It seems to have sunk without any cargo. 

However, many peo-ple have been at the beach nearby and walked to Maurits-stad.","Dieses <b>kaputte Schiff</b> ist selt-sam! 
Es ist ohne Ladung gesunken. 

Aber am Strand sind Fußstapfen. Viele Leute müssen nach Mauritsstad gelaufen sein."
,,,,
D2.1_Identifier,"This object iden-tifies Johan Mau-rits as the go-vernor of Dutch Brazil, where he resided in Mau-ritsstad.","<size=15>Dieses Objekt identifiziert Johann Moritz als Gouverneur von Niederländisch-Brasilien, wo er in Mauritsstad residierte.","<size=13.6>This object means that Johan Maurits controlled the Dutch colony in Brazil.

He lived in Maurits-stad.","<size=14>Dieses Objekt be-deutet, dass Johann Moritz die nieder-ländische Kolonie in Brasilien kon-trollierte. 

Er hat dort in Mau-ritsstad gewohnt."
D2.2_ArchitectModel,These plans show a Dutch-inspired building near Jo-han Maurits' go-vernor's resi-dence in <b>Mau-ritsstad</b> that was initiated and financed by Johan Maurits.,"Diese Pläne zeigen ein europäisch in-spiriertes Gebäude, dessen Bau in <b>Mauritsstad</b> von Johann Moritz ini-tiiert und finan-ziert wurde. ","These plans show a European-looking house.

Johan Maurits paid a lot of money to build many houses like this in <b>Mau-ritsstad</b>.","<size=15>Diese Pläne zei-gen ein europäisch aussehenden Haus. 

Johann Moritz hat viel Geld gezahlt, um solche Häuser in <b>Mauritsstad</b> zu bauen."
D2.3_OrangeTree,"<b>Inspired</b> by Eu-ropean court life, Johan Maurits im-ported many things he was used to from his home such as food, animals, and plants. 

Among them, for example, the orange tree.","<b>Inspiriert</b> vom europäischen Hof-leben, hat Johann Moritz viele Waren wie Lebensmittel, Tiere und Pflanzen importieren lassen 

- darunter zum Beispiel auch der Orangenbaum.","<size=13.5>Johan imported many things from <b>Europe</b> to Brazil to make the colony look more fa-miliar.

<size=13>These included food, animals, and plants like the orange tree.","<size=14.2>Johann hat viele Dinge aus seiner <b>Heimat</b> nach Bra-silien bringen las-sen, um die Umge-bung wie <b>Europa</b> aussehen zu lassen. 

Dazu gehörten Le-bensmittel, Tiere, und Pflanzen wie zum Beispiel der  Orangenbaum."
D2.4_WalkingSlaves,"Usually, <b>imported</b> trade goods were unloaded in the ports - as were enslaved people.

A peculiar group of enslaved people must have come walking up the coast instead.","<size=13.3>Normalerweise wurde importierte Han-delsware in Häfen vom Schiff abgeladen - ebenso wie verskla-vte Menschen. 

Eine ungewöhnliche Gruppe versklavter Menschen muss statt-dessen die Küste entlang gelaufen sein.","<b>Imported</b> things were unloaded in ports. People that were taken from their home against their will were, too. 

One group of people like that walked across the beach toward Mauritsstad instead.","<size=13.5>Aus <b>Europa</b> geholte Sachen wurden im Ha-fen entladen. 
Versklavte Menschen auch. 

Eine Gruppe solcher Menschen muss statt-dessen am Strand nach Mauritsstad ge-laufen sein."
,,,,
D3.1_Gossip1,"""Isn't it so progressive of the humanist prince to allow freedom of belief in his colony?""","""Ist es nicht un-glaublich fort-schrittlich vom humanistischen Fürsten, in der Kolonie Glaubens-freiheit zu erlau-ben?""","<size=16.5>""Isn't it really nice of Johan to allow everyone in the colony to practice their religion?""","<size=14.2>""Ist es nicht super nett von Johann, allen Leuten hier zu erlauben, ihre Religion zu haben?"""
